1.57667,0.591216216,3.733333333,0.99
1.82409,2.434928631,3.666666667,1
0.53617,-0.368852459,3.766666667,1.05
0.1534,-1.234060058,3.833333333,1.14
-1.3984,-0.374843815,4.666666667,1.17
-0.36589,-0.919732441,5.866666667,1.17
1.11559,-0.126582278,6.7,1.043333333
-0.94318,-0.675961132,6.966666667,1.076666667
3.9624,0.59549128,6.4,1.103333333
2.99796,1.77589852,5.566666667,1.153333333
3.83835,1.78645617,4.633333333,1.22
1.74413,3.591836735,4.233333333,1.336666667
1.25583,2.127659574,3.5,1.366666667
1.6453,-0.038580247,3.1,1.49
1.97302,0.964878425,3.166666667,1.603333333
0.16928,1.108562691,3.366666667,1.61
1.00113,0.037807183,3.066666667,1.566666667
0.11022,0.831443689,2.966666667,1.646666667
0.66774,0.037481259,3.233333333,1.783333333
3.24991,-0.187336081,2.833333333,1.893333333
1.85373,0.187687688,2.7,1.98
0.75391,0.374672162,2.566666667,2.153333333
-0.60987,0.597237775,2.733333333,1.956666667
-1.59555,-0.037105751,3.7,1.473333333
-0.47828,-0.296956199,5.266666667,1.06
0.12536,0,5.8,0.79
1.12119,-0.521221147,5.966666667,0.883333333
1.98273,0.187125749,5.333333333,1.02
2.83987,0.074710497,4.733333333,1.223333333
1.64076,-0.111982083,4.4,1.483333333
1.32731,0.224215247,4.1,1.856666667
0.55675,0.037285608,4.233333333,2.336666667
-0.45733,0.372717108,4.033333333,2.326666667
0.78341,1.336799109,4.2,2.566666667
-0.12577,0.806156101,4.133333333,2.583333333
1.62091,0.581606688,4.133333333,3.033333333
0.61268,0.939645826,3.933333333,3.096666667
-0.24155,0.930898675,4.1,3.14
0.95873,0.461156438,4.233333333,3.353333333
-1.05763,1.129943503,4.933333333,3.31
-2.74447,1.047486034,6.3,1.756666667
0.61193,-0.172771251,7.366666667,0.956666667
2.31614,0.069228107,7.333333333,1.68
2.3049,0.345901072,6.366666667,2.69
2.00247,-0.103412616,5.833333333,2.773333333
2.49421,0.586611456,5.1,3
-0.1193,0.686106346,5.266666667,3.54
0.34945,0.068143101,5.6,4.23
2.21902,0.578821927,5.133333333,3.873333333
-0.46846,0.033852404,5.233333333,2.993333333
0.16329,0.676818951,5.533333333,2.36
-1.29064,0.302521008,6.266666667,2.306666667
0.59226,-0.100536193,6.8,2.35
