25.590,24.120,0.688,0.674,0.718,0.751,0.687,0.506,3.790
26.300,24.670,0.697,0.691,0.734,0.755,0.702,0.536,3.790
25.420,23.230,0.658,0.654,0.699,0.742,0.669,0.487,4.190
24.400,22.900,0.664,0.666,0.665,0.754,0.646,0.443,2.980
24.240,22.980,0.671,0.668,0.684,0.847,0.693,0.409,2.910
23.490,22.530,0.649,0.646,0.649,0.852,0.648,0.382,2.530
22.210,20.830,0.621,0.622,0.634,0.805,0.642,0.373,2.300
22.180,20.540,0.620,0.614,0.596,0.771,0.604,0.383,1.910
20.830,19.830,0.605,0.596,0.562,0.725,0.580,0.408,1.820
20.770,19.360,0.612,0.599,0.534,0.727,0.545,0.388,1.860
20.640,19.100,0.614,0.606,0.537,0.742,0.560,0.392,1.960
21.720,19.510,0.625,0.634,0.558,0.760,0.565,0.383,1.910
20.830,18.730,0.600,0.621,0.559,0.774,0.561,0.378,1.840
19.760,17.840,0.589,0.586,0.554,0.777,0.544,0.353,1.880
19.380,17.140,0.581,0.590,0.570,0.757,0.549,0.347,1.980
19.650,17.330,0.584,0.586,0.582,0.736,0.543,0.343,2.040
19.850,17.760,0.590,0.585,0.591,0.711,0.532,0.354,2.140
19.990,18.080,0.605,0.579,0.583,0.641,0.531,0.351,2.150
19.940,18.060,0.596,0.578,0.551,0.601,0.529,0.349,2.290
21.450,19.420,0.631,0.609,0.569,0.617,0.559,0.351,2.220
21.430,19.910,0.640,0.638,0.574,0.636,0.566,0.359,2.220
20.900,19.150,0.625,0.623,0.556,0.647,0.552,0.353,2.280
20.120,18.300,0.584,0.590,0.540,0.625,0.533,0.351,2.170
18.880,16.880,0.543,0.548,0.513,0.576,0.511,0.343,2.160
18.930,17.270,0.542,0.535,0.515,0.578,0.518,0.340,2.220
19.000,17.740,0.536,0.535,0.521,0.579,0.526,0.341,2.270
19.950,18.410,0.557,0.566,0.537,0.573,0.542,0.349,2.150
19.440,18.170,0.566,0.584,0.522,0.552,0.525,0.346,2.150
19.490,18.260,0.580,0.589,0.522,0.562,0.526,0.346,2.240
19.520,18.570,0.576,0.583,0.528,0.563,0.535,0.349,2.200
20.130,18.960,0.660,0.630,0.550,0.620,0.560,0.354,2.220
20.350,19.170,0.693,0.637,0.559,0.671,0.573,0.364,2.370
19.990,18.630,0.696,0.638,0.543,0.679,0.560,0.367,2.530
19.920,18.600,0.742,0.671,0.537,0.700,0.556,0.374,2.540
19.500,17.830,0.696,0.642,0.517,0.674,0.546,0.375,2.580
19.610,18.100,0.674,0.598,0.521,0.666,0.535,0.383,2.770
19.440,18.110,0.619,0.572,0.507,0.637,0.522,0.383,2.760
19.440,18.220,0.605,0.546,0.526,0.633,0.535,0.386,2.850
20.120,18.830,0.602,0.538,0.553,0.647,0.558,0.389,3.080
21.620,20.140,0.626,0.569,0.586,0.651,0.582,0.406,3.000
22.010,20.750,0.603,0.563,0.582,0.653,0.582,0.404,2.830
21.030,19.550,0.569,0.539,0.562,0.667,0.560,0.393,2.890
21.000,19.560,0.572,0.540,0.568,0.698,0.567,0.397,3.210
20.920,19.270,0.568,0.541,0.563,0.742,0.565,0.393,3.420
20.650,19.140,0.556,0.533,0.567,0.761,0.557,0.375,3.160
20.660,19.590,0.563,0.534,0.575,0.722,0.564,0.367,3.250
19.810,19.200,0.553,0.523,0.561,0.675,0.545,0.356,2.890
19.300,18.850,0.557,0.521,0.544,0.620,0.519,0.333,2.550
18.690,17.920,0.532,0.505,0.521,0.600,0.493,0.322,2.510
18.440,17.320,0.514,0.484,0.516,0.602,0.494,0.336,2.340
18.310,17.040,0.521,0.499,0.514,0.594,0.506,0.341,2.340
18.310,17.060,0.517,0.501,0.502,0.603,0.491,0.349,2.210
17.580,16.000,0.498,0.499,0.490,0.612,0.496,0.333,2.260
16.830,15.380,0.487,0.478,0.467,0.589,0.475,0.318,2.110
16.470,14.920,0.478,0.451,0.457,0.571,0.471,0.299,2.050
16.020,14.720,0.456,0.430,0.453,0.546,0.462,0.288,2.110
17.300,15.610,0.483,0.469,0.478,0.542,0.492,0.297,2.080
16.650,14.920,0.446,0.439,0.458,0.525,0.468,0.303,2.280
16.250,14.360,0.450,0.452,0.447,0.502,0.451,0.302,2.210
16.030,13.680,0.459,0.463,0.438,0.489,0.445,0.300,2.200
