observation_date,CPIAUCSL
8/1/1968,3.433478737
9/1/1968,3.423682779
10/1/1968,6.818200161
11/1/1968,3.394627441
12/1/1968,6.760581262
1/1/1969,3.366061113
2/1/1969,3.356645545
3/1/1969,10.01396632
4/1/1969,6.629851118
5/1/1969,3.301240046
6/1/1969,6.575358918
7/1/1969,6.539525721
8/1/1969,3.256447046
9/1/1969,6.48650228
10/1/1969,6.451628444
11/1/1969,6.417127592
12/1/1969,6.382993773
1/1/1970,6.349221161
2/1/1970,6.315804053
3/1/1970,6.282736865
4/1/1970,6.250014129
5/1/1970,3.112842212
6/1/1970,6.20156419
7/1/1970,3.088804794
8/1/1970,3.080874606
9/1/1970,6.1381208
10/1/1970,6.106883409
11/1/1970,6.075962348
12/1/1970,6.045352836
1/1/1971,3.011293927
2/1/1971,0
3/1/1971,3.003756262
4/1/1971,2.996256238
5/1/1971,5.970161568
6/1/1971,5.940606192
7/1/1971,2.959310994
8/1/1971,2.952031009
9/1/1971,2.944786754
10/1/1971,2.937577966
11/1/1971,2.930404387
12/1/1971,2.923265757
1/1/1972,2.916161824
2/1/1972,5.811149371
3/1/1972,0
4/1/1972,2.895055686
5/1/1972,2.888088037
6/1/1972,2.881153845
7/1/1972,2.874252871
8/1/1972,2.867384877
9/1/1972,5.714296512
10/1/1972,2.846976424
11/1/1972,5.673769435
12/1/1972,2.826856431
1/1/1973,5.633813165
2/1/1973,8.401434551
3/1/1973,11.1111905
4/1/1973,8.266393194
5/1/1973,5.479461575
6/1/1973,8.172562803
7/1/1973,0
8/1/1973,21.52524082
9/1/1973,5.321516481
10/1/1973,10.57275562
11/1/1973,7.868880655
12/1/1973,10.41221283
1/1/1974,12.8894902
2/1/1974,12.75251109
3/1/1974,12.6184128
4/1/1974,7.507845137
5/1/1974,12.40962455
6/1/1974,9.836120645
7/1/1974,7.324539526
8/1/1974,14.51630605
9/1/1974,16.71668824
10/1/1974,9.448867717
11/1/1974,11.70740993
12/1/1974,9.284379003
1/1/1975,9.213097079
2/1/1975,6.863698407
3/1/1975,4.554085162
4/1/1975,4.536867408
5/1/1975,2.262017635
6/1/1975,9.005670785
7/1/1975,11.16287119
8/1/1975,4.436234258
9/1/1975,8.823569166
10/1/1975,6.575358918
11/1/1975,8.711472015
12/1/1975,6.492351274
1/1/1976,4.308801757
2/1/1976,2.148612929
3/1/1976,2.144772689
4/1/1976,2.140946152
5/1/1976,6.40001517
6/1/1976,6.366062676
7/1/1976,6.332468521
8/1/1976,6.299227063
9/1/1976,6.266332777
10/1/1976,6.233780253
11/1/1976,4.137935135
12/1/1976,6.180271172
1/1/1977,6.1486044
2/1/1977,12.203495
3/1/1977,6.055521681
4/1/1977,8.026785781
5/1/1977,3.993348111
6/1/1977,5.965215266
7/1/1977,5.935708722
8/1/1977,5.906492647
9/1/1977,3.921572118
10/1/1977,5.858433117
11/1/1977,7.767017407
12/1/1977,5.792448898
1/1/1978,7.680026215
2/1/1978,5.727934503
3/1/1978,7.594962062
4/1/1978,9.426599928
5/1/1978,11.2150349
6/1/1978,9.266455313
7/1/1978,9.195447295
8/1/1978,7.305958641
9/1/1978,10.87620738
10/1/1978,10.77851558
11/1/1978,7.132264681
12/1/1978,7.090124023
1/1/1979,10.55725284
2/1/1979,12.20054083
3/1/1979,12.07774394
4/1/1979,11.95739431
5/1/1979,13.52126982
6/1/1979,13.37061186
7/1/1979,13.2232743
8/1/1979,11.45202966
9/1/1979,11.34377117
10/1/1979,12.83434694
11/1/1979,12.6985312
12/1/1979,14.12704347
1/1/1980,17.04354021
2/1/1980,15.28683093
3/1/1980,16.59360193
4/1/1980,11.92556399
5/1/1980,11.80821336
6/1/1980,11.69314977
7/1/1980,1.453664624
8/1/1980,8.68520076
9/1/1980,10.05391878
10/1/1980,11.38798582
11/1/1980,12.68361779
12/1/1980,11.16287119
1/1/1981,11.05998613
2/1/1981,10.95898028
3/1/1981,8.154051759
4/1/1981,6.752972239
5/1/1981,8.053721506
6/1/1981,10.65489797
7/1/1981,13.18694589
8/1/1981,9.145389937
9/1/1981,11.65686446
10/1/1981,3.860593142
11/1/1981,5.128212933
12/1/1981,3.831828695
1/1/1982,3.819631872
2/1/1982,3.807512449
3/1/1982,0
4/1/1982,3.79546969
5/1/1982,11.31490835
6/1/1982,13.68599594
7/1/1982,6.169679401
8/1/1982,2.459017254
9/1/1982,0
10/1/1982,4.902969027
11/1/1982,-1.223865481
12/1/1982,-3.679103546
1/1/1983,2.453988585
2/1/1983,1.225114961
3/1/1983,1.223865481
4/1/1983,8.532285819
5/1/1983,4.848491444
6/1/1983,2.416919246
7/1/1983,4.819283586
8/1/1983,3.601803605
9/1/1983,3.591025124
10/1/1983,4.771378056
11/1/1983,3.566124467
12/1/1983,3.555558157
1/1/1984,8.255560816
2/1/1984,5.862249079
3/1/1984,3.503652124
4/1/1984,4.655679943
5/1/1984,2.321083896
6/1/1984,2.316603036
7/1/1984,4.619832463
8/1/1984,3.453239793
9/1/1984,3.443330914
10/1/1984,4.575792008
11/1/1984,2.281369508
12/1/1984,2.277040531
1/1/1985,2.272727952
2/1/1985,6.792470966
3/1/1985,5.631169414
4/1/1985,2.245089523
