6.318131777,3.7
6.679221113,3.8
-3.689546439,3.8
-3.824120905,4.7
-0.434600962,5.9
-3.35896503,6.7
-0.962492813,7
-1.236058299,6.4
3.040940439,5.6
7.271411409,4.6
8.017284095,4.2
15.94178036,3.5
3.872696969,3.1
-0.215882812,3.2
5.879531694,3.4
1.517049643,3.1
1.058521713,3
2.709119736,3.2
0.449741446,2.8
-1.15535463,2.7
1.499814281,2.6
1.837092265,2.7
0.69975638,3.7
0.936055253,5.3
-0.63865747,5.8
-1.041861054,6
-1.238876301,5.3
0.537815207,4.7
-0.537815207,4.4
0.298875495,4.1
1.193273809,4.2
0.044678593,4
2.627242872,4.2
4.121168294,4.1
3.397326636,4.1
3.282321814,3.9
3.384139203,4.1
3.553936237,4.2
1.934246573,4.9
4.718538361,6.3
2.677451168,7.4
-0.235119209,7.3
0.414823046,6.4
0.690417183,5.8
0.689227547,5.1
2.060585641,5.3
2.417916281,5.6
0.367553245,5.1
2.387661829,5.2
0.229873407,5.5
2.560224337,6.3
0.805099232,6.8
-0.134070724,7
1.565821629,6.8
0.573936065,6.2
1.557484038,5.6
1.498501595,5.5
1.149900837,5.6
0.962315293,5.5
1.275121444,5.8
0.734306058,5.7
2.442336943,5.5
1.079271822,5.6
1.645799545,5.5
0.646099317,5.2
0.902789356,5
1.837960916,5
1.241938805,4.9
2.548590973,4.7
1.179586414,4.4
2.109489676,4.1
3.724339961,3.9
3.60340409,3.8
3.448615751,3.8
3.248872822,3.7
1.020501692,3.8
2.419337826,3.8
3.996013254,3.8
4.358260047,3.9
3.913822048,3.7
3.875897813,3.6
5.373069155,3.5
4.918211123,3.4
4.86962536,3.4
6.262921858,3.4
5.452201197,3.6
6.094189057,3.6
6.349339663,4.2
5.557020552,4.8
4.120243471,5.2
5.768670428,5.8
3.349572589,5.9
3.659367688,5.9
3.950649398,6
2.937589702,5.9
3.235658274,5.8
2.575581952,5.7
3.18917567,5.6
4.11866035,5.4
6.239002362,4.9
8.279393159,4.9
7.816957321,4.8
9.990269428,4.8
11.730593,5.1
10.57359697,5.2
11.09512756,5.6
12.1034875,6.6
8.45908834,8.3
4.787939965,8.9
7.943164416,8.5
7.303871196,8.3
4.555357913,7.7
3.561911337,7.6
6.332586087,7.7
5.77314605,7.8
7.275221218,7.5
6.919533196,7.1
5.500498877,6.9
5.852145283,6.7
6.822565398,6.3
8.998026477,6
9.200460806,6
9.189192357,5.9
9.949305898,5.9
12.51880269,5.7
12.68197194,5.9
12.46586295,6
15.47921208,6.3
13.27540604,7.3
7.435960775,7.7
11.0623164,7.4
10.91018642,7.4
8.256905446,7.4
10.98764932,7.4
6.450573584,8.2
3.537797725,8.8
5.738762526,9.4
6.884467461,9.9
1.227208146,10.7
0.273562912,10.4
4.597961683,10.1
3.882921377,9.4
3.976175882,8.5
5.629828783,7.9
3.754765889,7.4
3.463225097,7.4
3.433497477,7.3
3.656550346,7.2
3.619696832,7.3
2.480334071,7.2
4.057203986,7
2.075340822,7
-1.954258233,7.2
2.439511431,7
2.786986616,6.8
4.79789076,6.6
4.507601055,6.3
4.222900738,6
3.714312403,5.8
3.109280401,5.7
4.56463465,5.5
4.846043708,5.5
4.346051948,5.3
4.519672662,5.2
6.411878017,5.2
3.11644267,5.2
4.046875021,5.4
6.824899715,5.3
3.938897034,5.3
6.848993971,5.7
6.736683919,6.1
2.979152353,6.6
2.367448668,6.8
3.036385632,6.9
3.304032521,7.1
2.703338799,7.4
3.063233361,7.6
3.042793954,7.6
3.487592498,7.4
2.901450814,7.1
2.877780401,7.1
1.847220168,6.8
3.302006135,6.6
2.003646554,6.6
2.264877768,6.2
3.689224048,6
2.32232536,5.6
2.927160358,5.5
3.255818112,5.7
2.012025215,5.7
2.173755297,5.6
3.541852417,5.5
3.42381861,5.5
2.295192781,5.3
3.461142535,5.3
2.427905663,5.2
0.91855387,5
1.995016604,4.9
2.150922951,4.7
0.823068444,4.6
1.313889137,4.4
2.047258228,4.5
1.87114845,4.4
1.459562656,4.3
2.985196801,4.3
2.960690895,4.2
2.938937582,4.1
3.939381919,4
3.122408127,3.9
3.639629911,4
2.840755763,3.9
3.808867135,4.2
2.794084436,4.4
1.12750451,4.8
-0.299606077,5.5
1.275710019,5.7
3.132585221,5.8
2.147268285,5.7
2.35845439,5.9
4.093582143,5.9
-0.654961203,6.1
2.973619137,6.1
1.515292721,5.8
3.37142594,5.7
3.130726341,5.6
2.542825899,5.4
4.271419149,5.4
2.015810732,5.3
2.694073401,5.1
6.012407344,5
3.712121581,5
2.07891898,4.7
3.593430267,4.6
3.758366464,4.6
-1.645378399,4.4
3.903141753,4.5
4.504753802,4.5
2.524069451,4.7
4.877351439,4.8
4.309449612,5
5.170183208,5.3
6.119838802,6
-9.266666649,6.9
-2.657405582,8.3
1.97035018,9.3
3.479264245,9.6
3.066042383,9.9
0.738474781,9.8
-0.230051653,9.6
1.341635571,9.5
2.988669351,9.5
4.314555769,9
4.546480589,9
2.862840928,9
1.399982451,8.7
2.281000821,8.3
1.001072475,8.2
2.072918377,8
2.162556454,7.8
1.426044931,7.7
-0.027574915,7.6
