5.8383,0.99,3.7,8.3864
6.4480,1.00,3.7,6.3181
2.2315,1.05,3.8,6.6792
0.4133,1.14,3.8,-3.6895
-5.4867,1.17,4.7,-3.8241
-1.3585,1.17,5.9,-0.4346
4.3786,1.04,6.7,-3.3590
-3.5989,1.08,7.0,-0.9625
15.6291,1.10,6.4,-1.2361
11.9214,1.15,5.6,3.0409
15.1286,1.22,4.6,7.2714
7.6457,1.34,4.2,8.0173
5.4401,1.37,3.5,15.9418
6.8899,1.49,3.1,3.8727
8.1477,1.60,3.2,-0.2159
0.8859,1.61,3.4,5.8795
4.2019,1.57,3.1,1.5170
0.8417,1.65,3.0,1.0585
2.8748,1.78,3.2,2.7091
12.9168,1.89,2.8,0.4497
7.3803,1.98,2.7,-1.1554
3.1151,2.15,2.6,1.4998
-2.2603,1.96,2.7,1.8371
-6.1170,1.47,3.7,0.6998
-1.8487,1.06,5.3,0.9361
0.4274,0.79,5.8,-0.6387
4.4994,0.88,6.0,-1.0419
7.7311,1.02,5.3,-1.2389
11.2564,1.22,4.7,0.5378
6.4522,1.48,4.4,-0.5378
5.3516,1.86,4.1,0.2989
2.3973,2.34,4.2,1.1933
-1.5436,2.33,4.0,0.0447
3.2820,2.57,4.2,2.6272
-0.3299,2.58,4.1,4.1212
6.4896,3.03,4.1,3.3973
2.5751,3.10,3.9,3.2823
-0.8846,3.14,4.1,3.3841
3.8750,3.35,4.2,3.5539
-4.1281,3.31,4.9,1.9342
-10.5035,1.76,6.3,4.7185
2.6339,0.96,7.4,2.6775
9.1335,1.68,7.3,-0.2351
9.2586,2.69,6.4,0.4148
7.3713,2.77,5.8,0.6904
9.6086,3.00,5.1,0.6892
-0.7755,3.54,5.3,2.0606
1.5757,4.23,5.6,2.4179
8.8138,3.87,5.1,0.3676
-1.5156,2.99,5.2,2.3877
0.9896,2.36,5.5,0.2299
-4.8689,2.31,6.3,2.5602
2.7065,2.35,6.8,0.8051
7.3657,2.30,7.0,-0.1341
6.6223,2.30,6.8,1.5658
8.0198,2.46,6.2,0.5739
7.1428,2.72,5.6,1.5575
4.2846,2.72,5.5,1.4985
3.7926,2.84,5.6,1.1499
1.5492,2.81,5.5,0.9623
4.4266,2.91,5.8,1.2751
5.1795,2.94,5.7,0.7343
7.7353,3.29,5.5,2.4423
2.8390,3.50,5.6,1.0793
8.5615,3.53,5.5,1.6458
4.7358,3.48,5.2,0.6461
5.3932,3.50,5.0,0.9028
1.4112,3.68,5.0,1.8380
9.7515,3.89,4.9,1.2419
5.4309,3.87,4.7,2.5486
8.0456,3.87,4.4,1.1796
9.3150,4.17,4.1,2.1095
9.7611,4.61,3.9,3.7243
1.6356,4.59,3.8,3.6034
2.8462,5.04,3.8,3.4486
3.4151,5.21,3.7,3.2489
3.6548,4.51,3.8,1.0205
0.3516,3.66,3.8,2.4193
3.4352,4.30,3.8,3.9960
3.2058,4.75,3.9,4.3583
8.0421,5.05,3.7,3.9138
6.7017,5.52,3.6,3.8759
2.8655,5.20,3.5,5.3731
1.7719,5.59,3.4,4.9182
6.1662,6.09,3.4,4.8696
1.2781,6.20,3.4,6.2629
2.4932,7.02,3.6,5.4522
-1.7368,7.35,3.6,6.0942
-0.6968,7.21,4.2,6.3493
0.7053,6.68,4.8,5.5570
3.5250,6.33,5.2,4.1202
-4.1368,5.35,5.8,5.7687
10.5735,3.84,5.9,3.3496
2.2710,4.25,5.9,3.6594
3.1089,5.01,6.0,3.9506
1.1586,4.23,5.9,2.9376
7.0663,3.44,5.8,3.2357
9.1560,3.77,5.7,2.5756
3.6681,4.22,5.6,3.1892
6.5891,4.86,5.4,4.1187
9.7329,5.70,4.9,6.2390
4.5069,6.60,4.9,8.2794
-2.1768,8.32,4.8,7.8170
3.7118,7.50,4.8,9.9903
-3.3347,7.62,5.1,11.7306
1.0483,8.15,5.2,10.5736
-3.8970,8.19,5.6,11.0951
-1.5964,7.36,6.6,12.1035
-4.8656,5.75,8.3,8.4591
3.0676,5.39,8.9,4.7879
6.5608,6.33,8.5,7.9432
5.3559,5.63,8.3,7.3039
8.9294,4.92,7.7,4.5554
3.0105,5.16,7.6,3.5619
2.0320,5.15,7.7,6.3326
2.9869,4.67,7.8,5.7731
4.6324,4.63,7.5,7.2752
7.7749,4.84,7.1,6.9195
7.0150,5.50,6.9,5.5005
0.0399,6.11,6.7,5.8521
1.3882,6.39,6.3,6.8226
15.2606,6.48,6.0,8.9980
3.8934,7.31,6.0,9.2005
5.3243,8.57,5.9,9.1892
0.7975,9.38,5.9,9.9493
0.4852,9.38,5.7,12.5188
2.8620,9.67,5.9,12.6820
1.0295,11.84,6.0,12.4659
1.2970,13.35,6.3,15.4792
-8.1964,9.62,7.3,13.2754
-0.6081,9.15,7.7,7.4360
7.3413,13.61,7.4,11.0623
8.1998,14.39,7.4,10.9102
-2.9314,14.91,7.4,8.2569
4.5634,15.05,7.4,10.9876
-4.6972,11.75,8.2,6.4506
-6.7455,12.81,8.8,3.5378
2.1771,12.42,9.4,5.7388
-1.4480,9.32,9.9,6.8845
0.3949,7.91,10.7,1.2272
5.2018,8.11,10.4,0.2736
9.0282,8.40,10.1,4.5980
7.7564,9.14,9.4,3.8829
8.1640,8.80,8.5,3.9762
7.8661,9.17,7.9,5.6298
6.9656,9.80,7.4,3.7548
3.9156,10.32,7.4,3.4632
3.1799,8.80,7.3,3.4335
3.9543,8.18,7.2,3.6566
3.6501,7.46,7.3,3.6197
6.1727,7.11,7.2,2.4803
2.9913,7.17,7.0,4.0572
3.6899,6.90,7.0,2.0753
1.8323,6.14,7.2,-1.9543
4.0047,5.52,7.0,2.4395
2.0681,5.35,6.8,2.7870
2.7844,5.54,6.6,4.7979
4.4676,5.66,6.3,4.5076
3.6141,6.04,6.0,4.2229
6.5430,5.86,5.8,3.7143
2.2439,5.72,5.7,3.1093
5.2520,6.21,5.5,4.5646
2.3013,7.01,5.5,4.8460
5.2614,7.73,5.3,4.3461
4.0162,8.54,5.2,4.5197
3.1321,8.41,5.2,6.4119
2.9763,7.84,5.2,3.1164
0.8424,7.65,5.4,4.0469
4.3559,7.76,5.3,6.8249
1.5455,7.75,5.3,3.9389
0.0981,7.48,5.7,6.8490
-3.4244,6.99,6.1,6.7367
-1.8790,6.02,6.6,2.9792
3.0955,5.56,6.8,2.3674
1.9136,5.38,6.9,3.0364
1.7402,4.54,7.1,3.3040
4.6976,3.89,7.4,2.7033
4.3870,3.68,7.6,3.0632
3.8711,3.08,7.6,3.0428
3.9872,3.07,7.4,3.4876
0.7443,2.96,7.1,2.9015
2.3682,2.97,7.1,2.8778
1.9467,3.00,6.8,1.8472
5.3030,3.06,6.6,3.3020
3.9008,3.24,6.6,2.0036
5.4304,3.99,6.2,2.2649
2.3516,4.48,6.0,3.6892
4.5147,5.28,5.6,2.3223
1.3640,5.74,5.5,2.9272
1.3950,5.60,5.7,3.2558
3.4113,5.37,5.7,2.0120
2.8298,5.26,5.6,2.1738
2.6127,4.93,5.5,3.5419
6.9241,5.02,5.5,3.4238
3.6833,5.10,5.3,2.2952
4.2057,4.98,5.3,3.4611
3.0349,5.06,5.2,2.4279
5.9906,5.05,5.0,0.9186
5.0643,5.05,4.9,1.9950
3.0910,5.09,4.7,2.1509
3.9383,5.05,4.6,0.8231
3.8614,4.98,4.4,1.3139
5.1996,4.82,4.5,2.0473
6.5096,4.25,4.4,1.8711
3.7214,4.41,4.3,1.4596
3.3530,4.45,4.3,2.9852
5.0616,4.65,4.2,2.9607
6.8615,5.04,4.1,2.9389
1.1468,5.52,4.0,3.9394
7.4830,5.71,3.9,3.1224
0.5108,6.02,4.0,3.6396
2.1252,6.02,3.9,2.8408
-1.1466,4.82,4.2,3.8089
2.1168,3.66,4.4,2.7941
-1.2195,3.17,4.8,1.1275
0.9803,1.91,5.5,-0.2996
3.7415,1.72,5.7,1.2757
2.1805,1.72,5.8,3.1326
1.9187,1.64,5.7,2.1473
0.1914,1.33,5.9,2.3585
2.0222,1.16,5.9,4.0936
3.7647,1.04,6.1,-0.6550
6.7016,0.93,6.1,2.9736
4.5116,0.92,5.8,1.5153
2.3854,0.92,5.7,3.3714
3.0486,1.08,5.6,3.1307
3.4944,1.49,5.4,2.5428
3.3609,2.01,5.4,4.2714
