0.023688,0.010905,0.016202,0.021951,0.019447,0.010995,0.016396,0.017371,0.019722,0.016404
-0.024139,-0.021959,-0.020172,-0.016317,-0.020406,-0.021623,-0.012994,-0.019892,-0.020670,-0.027998
0.013220,0.021316,0.026983,0.023754,0.021529,0.034041,0.031572,0.040409,0.036302,0.051886
-0.049118,-0.038935,-0.053871,-0.041764,-0.039902,-0.043320,-0.042977,-0.055730,-0.043720,-0.050444
-0.007664,0.015461,0.026614,0.020956,0.024804,0.025438,0.028670,0.026867,0.037160,0.034350
0.030008,0.029387,0.022985,0.032704,0.023563,0.036560,0.029322,0.035167,0.028675,0.044024
-0.002791,0.018337,0.008843,0.010424,0.009313,0.010991,0.007023,0.012943,0.016509,0.010715
-0.000599,0.001309,0.008775,0.000237,0.007284,-0.001201,0.004242,-0.002375,-0.005465,-0.009284
-0.013773,-0.014856,-0.017295,-0.004866,-0.014302,-0.016676,-0.015412,-0.018073,-0.016687,-0.020555
-0.013582,-0.009857,-0.013649,-0.010475,-0.016291,-0.007793,-0.011213,-0.007661,-0.013328,-0.002243
0.040794,0.054512,0.054998,0.053250,0.066493,0.054807,0.048986,0.061757,0.068798,0.057279
0.016235,0.015281,0.027628,0.030490,0.014859,0.025863,0.024080,0.029054,0.026766,0.034061
0.052927,0.042611,0.042771,0.034922,0.030793,0.021691,0.014952,0.009393,-0.003404,-0.007503
0.029167,0.029799,0.011136,0.013628,0.019320,0.007323,0.004317,0.007515,-0.002224,-0.005247
-0.016323,-0.014871,-0.015438,-0.019721,-0.011446,-0.002262,-0.015444,-0.009413,-0.003757,-0.016189
-0.019745,-0.023269,-0.026686,-0.010077,-0.027135,-0.022810,-0.021627,-0.027472,-0.030301,-0.028020
0.015956,0.010269,0.000283,0.005231,0.005639,0.005408,0.008896,0.002968,0.009071,0.007304
-0.043225,-0.043340,-0.038319,-0.035137,-0.028081,-0.033716,-0.029323,-0.024494,-0.023555,-0.010856
0.008645,0.018045,0.008140,0.017734,0.018438,0.014823,0.016723,0.016162,0.024123,0.028598
-0.048779,-0.064271,-0.058360,-0.047253,-0.057338,-0.051978,-0.043296,-0.052136,-0.031183,-0.044684
-0.036442,-0.022747,-0.014679,-0.004147,-0.013653,-0.015895,0.001259,-0.001026,0.006588,0.005191
0.023922,0.019753,0.039430,0.033388,0.050121,0.040600,0.037872,0.048143,0.041150,0.049893
0.019510,0.022683,0.018951,0.011785,0.014530,0.028211,0.023117,0.030240,0.033648,0.028258
-0.022967,-0.029793,-0.021936,-0.008014,-0.004109,-0.014175,-0.011883,0.004984,0.000494,0.002983
0.112803,0.084760,0.072094,0.068105,0.064561,0.076065,0.062631,0.059166,0.057444,0.047285
-0.009011,0.011226,0.011037,0.017596,0.010022,0.021921,0.014062,0.024036,0.017054,0.017350
0.026210,0.023561,0.034263,0.017913,0.027603,0.028846,0.031983,0.041027,0.030182,0.040100
0.010732,-0.002351,0.000070,0.015043,0.010400,0.019618,0.016092,0.027792,0.026479,0.053915
0.033457,0.049121,0.035859,0.054794,0.056114,0.040747,0.045928,0.038596,0.040665,0.026018
0.011575,0.009118,0.004669,0.007980,0.020894,0.015313,0.014104,0.023245,0.005461,0.010987
0.109220,0.087187,0.088082,0.061348,0.080871,0.052246,0.075453,0.065087,0.060829,0.042303
-0.006059,0.000291,0.004386,0.000043,-0.013133,-0.012385,-0.018023,-0.015584,-0.028051,-0.024358
0.041097,0.043547,0.034757,0.047920,0.048245,0.039205,0.055098,0.047859,0.045806,0.073866
-0.003384,0.001877,-0.003666,-0.013161,-0.003451,0.002623,0.002906,-0.007792,-0.011890,-0.021190
0.068835,0.083991,0.093918,0.089720,0.108025,0.097804,0.097914,0.102335,0.094004,0.094371
0.133416,0.112022,0.098497,0.090234,0.089816,0.076512,0.064534,0.065070,0.058748,0.048285
0.042190,0.018713,0.020304,0.013123,0.015791,0.018601,0.008902,0.005915,0.006469,0.005700
0.063377,0.047039,0.046193,0.047319,0.043526,0.043652,0.036718,0.036357,0.040351,0.026574
0.004779,-0.003844,-0.001412,0.001632,0.005162,-0.005640,-0.005256,-0.001089,0.014980,-0.004343
0.019518,0.020168,0.027174,0.009952,0.011706,0.021348,0.023505,0.027344,0.017440,0.038621
0.014886,-0.001748,0.004942,-0.004852,0.008673,0.002017,0.005293,0.010679,0.014867,0.012923
0.027428,0.043110,0.023361,0.032084,0.028220,0.028864,0.038479,0.035091,0.043904,0.080498
0.015860,0.017861,0.004647,0.006337,0.005794,-0.001607,0.006874,-0.003703,0.004967,0.028875
-0.005136,0.000542,0.002833,0.002660,0.005779,0.026245,0.002581,0.006890,0.006067,0.002820
0.019246,0.000362,-0.004300,-0.006830,-0.002522,-0.015285,-0.015290,-0.022189,-0.019098,0.005094
-0.030381,-0.014535,-0.003697,-0.011615,-0.014180,-0.014565,-0.016469,-0.026352,-0.021550,-0.028519
0.041876,0.037645,0.050815,0.055065,0.056182,0.065558,0.060155,0.069149,0.064598,0.075748
0.030050,0.020139,0.017983,0.022581,0.032368,0.020715,0.019338,0.014958,0.026172,0.013599
0.000914,-0.007376,-0.018302,-0.018868,-0.025705,-0.026522,-0.029430,-0.031774,-0.024998,-0.028810
0.031221,0.026005,0.023322,0.035584,0.031795,0.031724,0.035885,0.036559,0.038317,0.041320
0.024227,0.051997,0.042059,0.042031,0.042671,0.054975,0.054771,0.053548,0.065933,0.073470
-0.000437,0.007643,0.008759,-0.001342,0.001522,0.001629,0.003087,0.004832,-0.001138,0.006790
-0.037975,-0.044304,-0.042874,-0.045221,-0.036988,-0.038583,-0.038057,-0.035838,-0.034796,-0.055026
0.004909,0.007162,0.014705,0.013713,0.025912,0.031002,0.029407,0.027972,0.037232,0.040255
0.016471,0.034559,0.039258,0.033316,0.037920,0.049592,0.048628,0.040007,0.054904,0.052288
-0.011337,-0.016373,-0.010194,-0.012331,-0.007228,-0.025178,-0.024777,-0.023484,-0.018091,-0.035369
-0.033605,-0.019439,-0.024473,-0.025990,-0.033008,-0.039937,-0.039318,-0.038600,-0.050672,-0.053181
-0.002314,0.017104,0.010096,0.003026,0.012453,0.009467,0.015297,0.000439,0.013779,0.005851
-0.000900,0.002398,0.008305,0.019324,0.008190,0.015050,0.006692,0.003434,0.013071,0.002064
-0.004924,0.015708,0.038989,0.025531,0.033965,0.016894,0.036204,0.024567,0.029848,0.038177
0.034025,0.029313,0.022546,0.008832,0.005533,-0.001274,-0.005908,-0.014465,-0.008222,-0.044436
-0.027241,-0.031596,-0.024507,-0.022965,-0.030413,-0.025678,-0.014100,-0.020702,-0.015270,-0.018536
0.008419,0.027220,0.013314,0.023671,0.024808,0.021483,0.031540,0.016879,0.028659,0.023695
0.032103,0.016690,0.019189,0.015668,0.016334,0.035769,0.019304,0.036067,0.025558,0.054062
0.012962,0.001868,0.020234,0.018009,0.021626,0.028502,0.021431,0.025357,0.040122,0.039674
0.012044,-0.001775,-0.003634,-0.006785,-0.013685,-0.003365,-0.007259,-0.021128,-0.022221,0.000187
-0.000099,0.008088,0.004873,0.016828,-0.004887,0.005047,0.006090,0.003353,-0.000213,0.011921
-0.032622,-0.040437,-0.050067,-0.046982,-0.047401,-0.066985,-0.052717,-0.062349,-0.050235,-0.048113
-0.049554,-0.041682,-0.051864,-0.049100,-0.060125,-0.050580,-0.048953,-0.048734,-0.047863,-0.061519
-0.091844,-0.079612,-0.070203,-0.070909,-0.069705,-0.064761,-0.046968,-0.052283,-0.037170,-0.037296
0.008391,0.003835,0.003536,0.015149,0.034454,0.035453,0.026565,0.031771,0.038513,0.022193
-0.039695,-0.055494,-0.053853,-0.044017,-0.051944,-0.050199,-0.026472,-0.038394,-0.020537,-0.040114
0.168690,0.146158,0.130774,0.109455,0.100254,0.109846,0.095898,0.078745,0.064916,0.034542
-0.025409,-0.024375,-0.008655,-0.002786,-0.014045,-0.015966,-0.005973,-0.008045,-0.003262,-0.017573
